dataset,planning_seed,control,method,dPdet,dRMST_rel,dL,H_common,exposure_multiplicity_control,exposure_multiplicity_method,revisit_fraction_control,revisit_fraction_method,replans_control,replans_method,planner_wall_time_control,planner_wall_time_method,initial_positions_hash,planning_seed_common,w
5,49,online_static_3step,dynamic_3step,0.12061971957096262,0.04377326156243634,0.12078255314761305,8988.0,31.294261294261293,12.016011850179869,0.9680452594615685,0.9167777119007227,4236.0,4075.0,414.5504486935679,437.0634126726072,6e26f93fd2805cf3cc1744ab108d70ccb3eee9161153ee8e1978b8fcc8a5f3c6,49,0.5
5,50,online_static_3step,dynamic_3step,0.1226556334014624,0.05340552040521078,0.12281577685184636,8792.0,31.270260621206713,12.278038903752982,0.9680207334338037,0.9185537684121253,4622.0,4063.0,449.4463568904903,446.71629428490996,28a17723e483e361e906553b02d9b7735f2e72540a6ab861c38f893f918280ba,50,0.5
5,51,online_static_3step,dynamic_3step,0.058164478693474075,0.021538577428326204,0.05826270988448412,8510.0,18.59617947578854,11.84828117342295,0.946225513616818,0.9155995721773454,4045.0,4152.0,405.64167301380076,460.54235260467976,085478ade9679704a3f3853de68fe8e1c6a3b2b9328ccb65101897cc1e0d46f2,51,0.5
6,42,online_static_3step,dynamic_3step,-0.0042018459918856665,-0.0013538573615061369,-0.0042882539746836035,8518.0,13.998433893834488,14.405841399218883,0.9285634373399125,0.9305837144608421,4114.0,4061.0,405.6163976539392,442.962254636921,18b2f0f369843e76e9c50d96b6e34fd31bf7bda2e8a89b0bec71629b106e9456,42,0.5
6,43,online_static_3step,dynamic_3step,-0.006585921285339469,-0.0015341220229532658,-0.006586653545990306,8509.0,11.30243869936034,12.03548112404201,0.9115235192510627,0.9169123369731846,3927.0,4007.0,392.8215494926553,434.26219942909665,bc38415fe8b1b692a07e76893173e91311c7cc58998e875fd881d7e9caf4f565,43,0.5
6,44,online_static_3step,dynamic_3step,0.008913079587536732,0.0023136667841254337,0.008913432031205648,8512.0,12.031416211616197,11.575204918032787,0.9168842651262857,0.9136084408802025,4107.0,4077.0,415.7466882786248,455.55058179749176,11931ba3b2606720673fab484cd387b8c38bd1122400df06ded2cf949a538117,44,0.5
6,45,online_static_3step,dynamic_3step,0.00023192332369931234,0.0005717470589422483,0.0002011052747472597,8494.0,13.678083851684304,13.586464955339181,0.9268903443754761,0.9263973371081325,4032.0,4029.0,407.3811656336766,435.7809102474712,12552005c3b7dcefe6e0faf61ca7b7f591652f85e619dc40510fcf51611ff1a7,45,0.5
6,46,online_static_3step,dynamic_3step,0.027128829210514405,0.02109287052780666,0.027187360641887787,8501.0,13.21492117995942,11.304580050741087,0.92432796333916,0.9115402787621073,4219.0,3998.0,420.9542664263863,434.0199580315966,d149dc67b56dcaf541d65edc8d6897fe37b1f06d852ebca5858e5266f5dbac25,46,0.5
6,47,online_static_3step,dynamic_3step,0.06574243462634133,0.03743424339572339,0.06585801492476731,8502.0,17.930119462945342,11.454674412320994,0.9442279231844152,0.9126993955476927,3973.0,3900.0,399.3502298016101,429.8256642501801,6069ba6c504dc099683bda0ad8071d3118351515ee682d0db0c79422570e4068,47,0.5
6,48,online_static_3step,dynamic_3step,0.031053603071971858,0.01637032789921601,0.031082886509744057,8506.0,13.90489464622448,11.400537634408602,0.9280828783358295,0.9122848384814902,3827.0,4018.0,379.9702919225674,437.2660311695654,0c5ebd0726da0e28847294133027a59d77d46fefc0ba8c7ad9525095d8a96825,48,0.5
6,49,online_static_3step,dynamic_3step,0.02855538568596283,0.0135827059394487,0.028569519898077822,8490.0,13.657518766647833,11.47516960651289,0.92678025803325,0.912855318545145,4006.0,3869.0,403.2955556605011,425.73864639992826,bd2fe3251942199c9fb0a19883f0e4a31bbd2de8f045df6a2fafccc8ea790d4f,49,0.5
6,50,online_static_3step,dynamic_3step,-0.006075790276079851,-0.011301446745376873,-0.006106630640454941,8507.0,14.01347028119212,14.833231253827982,0.9286400884339029,0.9325838057205552,4242.0,4140.0,425.9153158876579,442.69274059217423,53e8cf0d809f72f1d5e1250df324464f606775b46f1e1ed50186dea0e66da9fb,50,0.5
6,51,online_static_3step,dynamic_3step,-0.057124227252290244,-0.0323560616641028,-0.05725608833542484,8509.0,12.016222725984699,17.955527318932656,0.9167791723902111,0.944306843110891,4104.0,3995.0,417.48097836901434,432.25577165326104,b8ac6e56ffbb7f6f6d9b3e28a5e3ad271ca635c021faf58db48ad9ffc3929906,51,0.5
7,42,online_static_3step,dynamic_3step,0.0737841651679558,0.028107375943839778,0.07388801555826498,8233.0,24.62956629877196,10.141508840369974,0.9593983918405473,0.901395343065784,5622.0,4811.0,541.4616831110325,513.5622899844311,006da335f256203469592a62a852eccffab880f7309f6633631136cbb4337c3b,42,0.5
7,43,online_static_3step,dynamic_3step,0.11912062131705234,0.07284086124351122,0.11926857990950414,8246.0,57.58216654384672,9.524163130598774,0.9826335120746362,0.8950038983701101,4503.0,4436.0,428.94858551118523,478.8860767930746,70146d654c8d3e205eae3a8c1c32c196b80ae26034bb8660a9cf58293ef56344,43,0.5
7,44,online_static_3step,dynamic_3step,0.16444703417075152,0.07932145673488988,0.16465590033671007,8255.0,40.003819709702064,9.661137299361537,0.9750023870906139,0.8964925174941789,5735.0,4676.0,550.3577397151385,507.8665237056557,11105a2cc12ea269694f1fa8b45ff83d4588344c41b1c28dbb5cea328ef765c7,44,0.5
7,45,online_static_3step,dynamic_3step,0.12391732306303388,0.05295083167767049,0.12407843812633106,8263.0,31.14429729195493,9.774770973963356,0.9678913930654548,0.8976958127547277,4465.0,3920.0,436.69600822078064,427.31357449432835,b98c42be92a0d05dad7817d60024cbaa2a663d58f33ed7d93a3770ce5fd54421,45,0.5
7,46,online_static_3step,dynamic_3step,0.10583680231203658,0.03768748338484084,0.1059966732673705,8253.0,24.00946420393833,9.629105188005711,0.9583497577661076,0.8961481902549338,5282.0,4696.0,512.502536212327,512.3317362868693,72b2a4b6cfa190859e858989a9c94ff8592eebd82cfee1e5bcbe8e4fddf368a3,46,0.5
7,47,online_static_3step,dynamic_3step,0.08293279129350717,0.03553451022676458,0.08307058039799396,8267.0,24.276194852941178,9.84533268635895,0.9588073828679603,0.8984290290783638,5411.0,4692.0,528.6974501479417,508.99023408070207,b7d406c52d39becdb0bc74a2cb1a4d4b67e866429a333098a2a57fcb23220f96,47,0.5
7,48,online_static_3step,dynamic_3step,0.1429530679161994,0.07001379790336067,0.14315619584592892,8272.0,61.69616752271829,9.964736906660125,0.983791537786658,0.8996461211804166,5270.0,4456.0,496.5655325029511,473.36909230286255,b85f9723792ce7b18415898fc551ccbb69b3a52f396789496392181de2ff1369,48,0.5
