dataset,planning_seed,method,P_detect_Tref,P_detect_k0_Tref,retention_Tref,RMST_Tref,RMST_k0_Tref,NRMST_Tref,degradation_RMST_Tref,retention_budget
13,49,dynamic_evidence_3step,0.3541901461458138,0.3745151320270344,0.9457298673855628,6299.887386544854,6263.90932829609,0.7873874998806217,0.0044966951941961975,1.0037411061601091
13,50,dynamic_evidence_3step,0.3486740695065484,0.3766935703583366,0.9256172574829611,6289.337605424368,6237.858665445675,0.7860689420602884,0.006434063239431726,0.9674057905867176
13,51,dynamic_evidence_3step,0.3506824786499911,0.3587352684305537,0.9775522774334592,6315.238892408922,6293.415683537197,0.7893061982763306,0.0027275601639451317,1.0507479706084937
14,42,dynamic_evidence_3step,0.3411846367984117,0.3441579847528203,0.9913605143970607,6185.422938219821,6167.898775460605,0.7730812321234621,0.0021902465640814737,1.0182772886460982
14,43,dynamic_evidence_3step,0.3571382149890285,0.3840247397057736,0.9299875191964334,6184.801967041031,6115.863999645368,0.7730036204275754,0.008616168903345043,0.9708390227240749
14,44,dynamic_evidence_3step,0.3662588262773875,0.3846876986723024,0.9520939389054558,6137.385985597577,6089.073852023031,0.7670773635292559,0.006038261914079034,0.9933983088865544
14,45,dynamic_evidence_3step,0.3582694932929939,0.3990469114835898,0.8978129713145949,6154.435447216044,6075.390604286327,0.7692082798670221,0.009879370444908967,0.9293427665231484
14,46,dynamic_evidence_3step,0.3582837772822159,0.3858710451342439,0.9285065096231035,6126.061496975881,6066.756455474669,0.7656619793745633,0.007412203662193744,0.96528520702794
14,47,dynamic_evidence_3step,0.3611894130850679,0.3811744568150201,0.9475698243346596,6101.289985114868,6057.684895318423,0.7625659273984337,0.005449954980183114,0.9933755590950034
14,48,dynamic_evidence_3step,0.3625174991215831,0.3700301215074738,0.9796972680081155,6162.962725834034,6136.248985154291,0.7702740564721953,0.0033388002349384878,1.039306454782989
14,49,dynamic_evidence_3step,0.3435683186437488,0.3847504685090792,0.8929640033320491,6200.637861331971,6130.235832434825,0.7749828598090203,0.00879915371792851,0.9210552053613148
14,50,dynamic_evidence_3step,0.3494766707309453,0.3763410122897406,0.9286170237058491,6155.110623529412,6097.257919822886,0.7692926663578817,0.007230684127799772,0.963205494355243
14,51,dynamic_evidence_3step,0.3711867302191797,0.3898003717912619,0.9522482713740206,6077.418655683419,6042.084750565158,0.7595823841624071,0.004416186116518073,0.9916866032668512
15,42,dynamic_evidence_3step,0.3859465574185313,0.3943450273216089,0.9787027366361888,6089.627743348359,6067.474528351887,0.7611083293773727,0.0027688057738373133,1.0370043145879777
15,43,dynamic_evidence_3step,0.3863804350982711,0.3998827462007535,0.9662343243594116,5992.520681900134,5965.986281278937,0.7489714638045412,0.0033163855294584634,0.9975579658527676
15,44,dynamic_evidence_3step,0.3504934636372051,0.3620752669381557,0.9680127190158813,6084.463930748753,6063.779017878992,0.7604629334769095,0.002585290947351746,1.0206283159095448
15,45,dynamic_evidence_3step,0.3853356329974041,0.4037539546291093,0.9543823127413714,5933.400567731717,5890.25363691349,0.7415823731698185,0.0053926922657452445,0.9962202594253816
15,46,dynamic_evidence_3step,0.3703147949446004,0.3860005459357979,0.9593633968750748,6048.0894042157015,6022.932185873474,0.7559166859412201,0.0031442592603709136,0.9894883509937592
15,47,dynamic_evidence_3step,0.3692470613637061,0.393092013771337,0.9393400232712396,6002.171911460746,5939.942138047268,0.7501777167180035,0.0077777494580025175,0.9757568414296968
15,48,dynamic_evidence_3step,0.3863145023535619,0.4034577863641285,0.9575091011006182,5950.59659330894,5915.667194549294,0.7437316077126535,0.004365629141313044,0.9856200614090402
15,49,dynamic_evidence_3step,0.3876233556384804,0.3986992439496791,0.9722199415241514,5996.396119132604,5972.869023929886,0.7494558329124614,0.0029405193354228917,1.0078010478344936
15,50,dynamic_evidence_3step,0.3521468421971144,0.3728423352984491,0.9444926416825262,6069.7296073143325,6021.208053134957,0.7586213732426362,0.006064436217894754,0.9991396384688626
15,51,dynamic_evidence_3step,0.3742828993031989,0.3815787163673692,0.9808799161189428,6037.101924243154,5996.387868985147,0.7545434226025689,0.005088620829647136,1.0454709877151689
20,42,dynamic_evidence_3step,0.1427905034256149,0.1489071375779173,0.9589231634440505,7305.86348144202,7290.042641658709,0.9131187953308362,0.0019773578031885247,1.000169429604522
20,43,dynamic_evidence_3step,0.1443351389118209,0.1540109867310253,0.9371743014925101,7280.869111064887,7259.401245935021,0.9099948895219206,0.002683147747764825,0.986201638157286
20,44,dynamic_evidence_3step,0.1450622169907557,0.154211871099371,0.9406682893905135,7279.091775927216,7258.395405264269,0.9097727503971024,0.0025867229924942782,1.0066162457556702
20,45,dynamic_evidence_3step,0.1356111074639175,0.137180318706147,0.9885609593487613,7319.170783555293,7317.209072753809,0.9147820001943874,0.00024518320228527864,1.0402259090542805
20,46,dynamic_evidence_3step,0.1356212167503963,0.144164239023858,0.9407410441638865,7318.360115960872,7300.025655463991,0.9146806794101827,0.0022915211219698335,0.978078755254024
20,47,dynamic_evidence_3step,0.1443421240233663,0.1496976177092646,0.9642245897573368,7311.145560115105,7300.923666830549,0.9137789726428077,0.0012775769634489858,1.023815973484763
