dataset,planning_seed,dPdet,dRMST_rel,dretention,dL,dPostFaultGain,deadhead_total,deadhead_fraction_remaining_budget,assignment_cost,route_length_after_replan,task_splits,empty_sectors,prefix_removed_total,suffix_removed_total,search_inactive_count,remaining_budget_at_failure,postfault_eff_replan,postfault_eff_fixed,postfault_mass_replan,postfault_mass_fixed,postfault_dist_replan,postfault_dist_fixed,termination,budget_utilization,unused_budget
4,51,-0.03571326148288628,-0.014159665129164289,-0.13044842707577198,-0.03585551591916139,-0.035713261482886303,2041.6035260446422,0.020416304393441078,2041.6035260446422,4639273.222131893,0,0,4969,0,0,99998.6817741866,5.588278460690894e-07,9.173515318739029e-07,0.055887544098154024,0.09174306001731541,100008.516918544,100008.61919302514,budget_exhausted,1.00004917572178,-9.83514435600955
5,42,-0.06458681435602473,-0.025252492376049894,-0.230089513231982,-0.06480345987192179,-0.0645868143560247,2940.8616038653454,0.029409887907378786,2940.8616038653454,4660512.147782977,0,0,2945,0,0,99995.67537037429,3.578121318735764e-07,1.0057296823763156e-06,0.035779804289349904,0.10058326416127189,99996.06246439896,100010.23726735002,budget_exhausted,1.000001935470133,-0.3870940266060643
5,43,-0.025453601352824318,-0.010786393707002568,-0.09060637700420526,-0.025549564547097003,-0.02545360135282429,1130.8640839473933,0.01131141101125746,1130.8640839473933,4618956.423825161,0,0,6901,0,0,99975.50993610991,7.938491440492626e-07,1.0493698084815827e-06,0.07937168923189028,0.10492125377898728,99983.34044555554,99985.01284385746,budget_exhausted,1.000039152547218,-7.830509443592746
5,44,-0.022298804776859582,-0.00993753981122278,-0.07941626797458123,-0.022392313407613218,-0.022298804776859596,1724.2158479401219,0.017242240823704687,1724.2158479401219,4619112.890428482,0,0,6885,0,0,99999.52242690316,7.911536780162136e-07,1.0150455776961862e-06,0.07911861556249719,0.10151092897011041,100004.10509483312,100006.2767629669,budget_exhausted,1.0000229133396432,-4.582667928625597
5,45,-0.021931121233970563,-0.010297823409580615,-0.07812195464378757,-0.022015737846474426,-0.021931121233970702,3341.4836813495017,0.033416747230542276,3341.4836813495017,4619133.039395349,0,0,6883,0,0,99994.283055038,7.781866387501663e-07,9.982327855416596e-07,0.0778217886512399,0.09983752649771432,100004.0154585901,100014.27316729598,budget_exhausted,1.0000486620177582,-9.732403551635798
5,46,-0.0441997993348226,-0.017463825330257907,-0.1573936236142932,-0.04435869139504231,-0.04419979933482259,2674.5910989534527,0.026751807094583486,2674.5910989534527,4639238.273550022,0,0,4972,0,0,99977.95997471082,5.583900006063324e-07,1.0021452891930697e-06,0.05583609154055669,0.10019478293559911,99994.79123896667,99980.29628645586,budget_exhausted,1.0000841563212697,-16.831264253880363
5,47,-0.025315654337175697,-0.011586228001109101,-0.09012575391645439,-0.025418138492447284,-0.02531565433717571,1141.2172356881379,0.011414333385530133,1141.2172356881379,4618875.8279576935,0,0,6909,0,0,99981.06741256136,7.953820290314518e-07,1.0495781462553768e-06,0.07953427759550002,0.10495241608794731,99995.06487762876,99994.85646913512,budget_exhausted,1.000069987325334,-13.99746506678639
5,48,-0.04254508821400102,-0.017565380993153575,-0.1515637948142573,-0.04270187568846609,-0.04254508821400099,2564.682629537937,0.02564829786751706,2564.682629537937,4639500.210119291,0,0,4946,0,0,99994.26249591575,5.884148852095951e-07,1.0153550570682221e-06,0.0588404129623587,0.10154228865082468,99998.1721084428,100006.6803665922,budget_exhausted,1.0000195480626335,-3.9096125266805757
5,49,-0.044977082482381886,-0.017767825422299353,-0.16015467365307257,-0.0451787419754727,-0.0449770824823818,2945.975761559336,0.029466580535218365,2945.975761559336,4640144.977059035,0,0,4882,0,0,99976.84522770856,5.46201792069093e-07,9.980863039583146e-07,0.05461775793706011,0.09979649991253281,99995.56707816718,99987.84625813364,budget_exhausted,1.0000936092522956,-18.72185045911465
5,50,-0.06454382826120231,-0.0258857500585656,-0.22985678997616177,-0.06475563950933322,-0.0645438282612022,3143.221184095356,0.031439031877863594,3143.221184095356,4659615.518757398,0,0,3034,0,0,99978.30710265976,3.58004203229006e-07,1.0057454536562754e-06,0.03579937741415401,0.10055501692348762,99997.08688127909,99980.58311666345,budget_exhausted,1.0000938988930936,-18.779778618714772
5,51,-0.04131111036314111,-0.016671925861605968,-0.14709532421842386,-0.041454447275156486,-0.0413111103631412,2871.6615587723168,0.02871699414255271,2871.6615587723168,4639273.222131934,0,0,4969,0,0,99998.68177418689,5.835618791286126e-07,9.980760546374386e-07,0.058359648945442794,0.09981409622059928,100005.93087503711,100006.50326878924,budget_exhausted,1.0000362455042502,-7.249100849992828
6,42,-0.04504057216617793,-0.017843475605068406,-0.16866453425303585,-0.045207060249462694,-0.0450405721661779,3530.567625177417,0.03530654134234825,3530.567625177417,4639490.135635812,0,0,4947,0,0,99997.5497725317,5.43062339948036e-07,9.951306095923672e-07,0.054309340764504,0.0995164010139667,100005.72083437178,100003.35639834388,budget_exhausted,1.0000408553091875,-8.171061837492744
6,43,-0.06544156087819558,-0.025082545175791036,-0.24504517723945274,-0.0656417326789343,-0.0654415608781956,4648.893673002991,0.04649809014719498,4648.893673002991,4660028.57257812,0,0,2993,0,0,99980.31442337504,3.27451248492708e-07,9.840094832600933e-07,0.0327420170487234,0.09838374972765798,99990.5091198714,99982.52191808724,budget_exhausted,1.0000509734824892,-10.194696497812402
6,44,-0.024820220599086423,-0.010748841180006815,-0.09294895143844972,-0.02491630840044559,-0.024820220599086396,3856.6312075667247,0.03856724471990559,3856.6312075667247,4619409.775579622,0,0,6856,0,0,99997.58177115032,7.458834247329175e-07,9.949324839998788e-07,0.07458861200029501,0.09950492040074049,100000.36135271857,100011.73145006353,budget_exhausted,1.0000138979078237,-2.779581564711407
