study,dataset,planning_mode,trial,seed,num_drones,budget,fov_deg,victim_model,likelihood,victims_found,path_length,cells_observed,sim_time,wall_time,_job_key
nstep_N3,1,dynamic_3step,49,91,5,200000.0,45.0,random_walk,0.30914398872244864,1,200000.417875321,10396,8525.0,116.66302466392517,dynamic_3step|seed=91
nstep_N4,1,dynamic_4step,0,42,5,200000.0,45.0,random_walk,0.3370128553946339,0,200013.9729447149,12703,8478.0,155.22902083396912,dynamic_4step|seed=42
nstep_N4,1,dynamic_4step,1,43,5,200000.0,45.0,random_walk,0.3374344468055724,0,200010.8213055403,12967,8499.0,153.6188039779663,dynamic_4step|seed=43
nstep_N4,1,dynamic_4step,2,44,5,200000.0,45.0,random_walk,0.35235128305975827,0,200017.53523544726,13638,8488.0,155.38807272911072,dynamic_4step|seed=44
nstep_N4,1,dynamic_4step,3,45,5,200000.0,45.0,random_walk,0.3574321936162157,1,200006.57954203137,15170,8506.0,153.50038504600525,dynamic_4step|seed=45
nstep_N4,1,dynamic_4step,4,46,5,200000.0,45.0,random_walk,0.3308347321927272,0,200023.39382422302,12429,8497.0,156.51234602928162,dynamic_4step|seed=46
nstep_N4,1,dynamic_4step,5,47,5,200000.0,45.0,random_walk,0.3603177893255629,0,200017.70688972462,13951,8495.0,152.92035484313965,dynamic_4step|seed=47
nstep_N4,1,dynamic_4step,6,48,5,200000.0,45.0,random_walk,0.33502191960438216,1,200003.11302484432,12644,8502.0,148.78428745269775,dynamic_4step|seed=48
nstep_N4,1,dynamic_4step,7,49,5,200000.0,45.0,random_walk,0.3390975669027909,1,200004.720038007,14309,8495.0,149.17968678474426,dynamic_4step|seed=49
nstep_N4,1,dynamic_4step,8,50,5,200000.0,45.0,random_walk,0.35149248542478967,0,200004.1604984926,13115,8503.0,144.7049913406372,dynamic_4step|seed=50
nstep_N4,1,dynamic_4step,9,51,5,200000.0,45.0,random_walk,0.36374724568624056,0,200000.80055724795,15028,8506.0,153.81871795654297,dynamic_4step|seed=51
nstep_N4,1,dynamic_4step,10,52,5,200000.0,45.0,random_walk,0.347615970948444,1,200001.72100304964,14020,8517.0,156.1143729686737,dynamic_4step|seed=52
nstep_N4,1,dynamic_4step,11,53,5,200000.0,45.0,random_walk,0.3609562429382186,0,200012.30104236506,14442,8492.0,154.55121779441833,dynamic_4step|seed=53
nstep_N4,1,dynamic_4step,12,54,5,200000.0,45.0,random_walk,0.31987254779605523,1,200024.66116392662,11654,8497.0,149.47157216072083,dynamic_4step|seed=54
nstep_N4,1,dynamic_4step,13,55,5,200000.0,45.0,random_walk,0.34963328267007937,0,200018.0772605282,14194,8496.0,151.63520050048828,dynamic_4step|seed=55
nstep_N4,1,dynamic_4step,14,56,5,200000.0,45.0,random_walk,0.350518189088601,1,200013.07811322022,13612,8514.0,153.89048266410828,dynamic_4step|seed=56
nstep_N4,1,dynamic_4step,15,57,5,200000.0,45.0,random_walk,0.3635268431209802,0,200007.60222738812,14794,8522.0,155.68097066879272,dynamic_4step|seed=57
nstep_N4,1,dynamic_4step,16,58,5,200000.0,45.0,random_walk,0.3645782358157626,1,200011.6414312836,14453,8513.0,154.5632483959198,dynamic_4step|seed=58
nstep_N4,1,dynamic_4step,17,59,5,200000.0,45.0,random_walk,0.34424714875598755,0,200017.20638171473,12633,8482.0,151.8821897506714,dynamic_4step|seed=59
nstep_N4,1,dynamic_4step,18,60,5,200000.0,45.0,random_walk,0.34487087272089867,0,200020.68353337728,14187,8496.0,155.61730360984802,dynamic_4step|seed=60
nstep_N4,1,dynamic_4step,19,61,5,200000.0,45.0,random_walk,0.3653312513758036,1,200008.7895615166,14401,8515.0,153.73772406578064,dynamic_4step|seed=61
nstep_N4,1,dynamic_4step,20,62,5,200000.0,45.0,random_walk,0.3562148420618204,1,200019.36327591637,13148,8513.0,147.56991934776306,dynamic_4step|seed=62
nstep_N4,1,dynamic_4step,21,63,5,200000.0,45.0,random_walk,0.36479499502559537,0,200007.5001508419,14113,8488.0,150.7972538471222,dynamic_4step|seed=63
nstep_N4,1,dynamic_4step,22,64,5,200000.0,45.0,random_walk,0.3630157049545594,0,200006.86591374275,14980,8502.0,157.98558068275452,dynamic_4step|seed=64
nstep_N4,1,dynamic_4step,23,65,5,200000.0,45.0,random_walk,0.3437164454133332,0,200011.88855195983,12827,8485.0,152.2465353012085,dynamic_4step|seed=65
nstep_N4,1,dynamic_4step,24,66,5,200000.0,45.0,random_walk,0.2646415532891956,0,200009.7098482683,8979,8468.0,139.23596954345703,dynamic_4step|seed=66
nstep_N4,1,dynamic_4step,25,67,5,200000.0,45.0,random_walk,0.35537809904239726,0,200009.25509454327,13437,8490.0,153.03125071525574,dynamic_4step|seed=67
nstep_N4,1,dynamic_4step,26,68,5,200000.0,45.0,random_walk,0.36929228357931,0,200011.62930766534,14727,8512.0,151.94343161582947,dynamic_4step|seed=68
nstep_N4,1,dynamic_4step,27,69,5,200000.0,45.0,random_walk,0.3330152248545687,0,200016.9926421837,12622,8506.0,154.06596422195435,dynamic_4step|seed=69
nstep_N4,1,dynamic_4step,28,70,5,200000.0,45.0,random_walk,0.3528100508007228,1,200018.79187694128,13780,8482.0,153.00018453598022,dynamic_4step|seed=70
nstep_N4,1,dynamic_4step,29,71,5,200000.0,45.0,random_walk,0.3637238791727258,0,200001.37094912597,14575,8508.0,154.99910688400269,dynamic_4step|seed=71
nstep_N4,1,dynamic_4step,30,72,5,200000.0,45.0,random_walk,0.3685936037238257,0,200020.27466668363,15107,8501.0,153.76165962219238,dynamic_4step|seed=72
nstep_N4,1,dynamic_4step,31,73,5,200000.0,45.0,random_walk,0.3587564603571705,1,200019.65432095533,14156,8503.0,153.13528180122375,dynamic_4step|seed=73
nstep_N4,1,dynamic_4step,32,74,5,200000.0,45.0,random_walk,0.3511998606638287,1,200010.96378360246,13717,8478.0,153.90048789978027,dynamic_4step|seed=74
nstep_N4,1,dynamic_4step,33,75,5,200000.0,45.0,random_walk,0.3692937082000892,1,200019.04069704865,14581,8486.0,153.2914502620697,dynamic_4step|seed=75
nstep_N4,1,dynamic_4step,34,76,5,200000.0,45.0,random_walk,0.34344825549318436,0,200006.52761951415,13146,8488.0,153.2535581588745,dynamic_4step|seed=76
nstep_N4,1,dynamic_4step,35,77,5,200000.0,45.0,random_walk,0.3537185177780396,0,200021.6979124028,13791,8489.0,158.12733507156372,dynamic_4step|seed=77
nstep_N4,1,dynamic_4step,36,78,5,200000.0,45.0,random_walk,0.36147380836330756,1,200003.25185871308,14304,8490.0,153.50892424583435,dynamic_4step|seed=78
