dataset,planning_seed,k,comparator,dRetention_Pdet_Dyn_OS,dDegradation_NRMST_Dyn_OS,dPdet,dRMST_rel,dRetention_Pdet_Dyn_Pizza,dDegradation_NRMST_Dyn_Pizza
10,44,2,online_static_3step,-0.24234386475963032,-0.05155507585161412,0.11279117514847316,0.04685445883317932,,
10,44,3,online_static_3step,-0.4126003927112406,-0.08362564742970235,0.06407516109456227,0.014783887255091114,,
10,45,1,online_static_3step,-0.08469189168313596,-0.01714177822126217,0.1469719811376076,0.0747901136010188,,
10,45,2,online_static_3step,-0.24207418211738174,-0.04836122265238674,0.11661654112857081,0.043570669169894216,,
10,45,3,online_static_3step,-0.25117088608541493,-0.06084113342599129,0.0820864168611955,0.031090758396289612,,
10,46,1,online_static_3step,-0.11455625916045109,-0.018492255902285204,0.11997710094830041,0.06342030833640828,,
10,46,2,online_static_3step,-0.3484718753227367,-0.04879848162591072,0.08205486944140342,0.0331140826127827,,
10,46,3,online_static_3step,-0.28049949709449506,-0.061809274300973716,0.07025567127466215,0.020103289937719683,,
10,47,1,online_static_3step,-0.15891126891296348,-0.02677153575982527,0.14410754811706797,0.06698782601379166,,
10,47,2,online_static_3step,-0.2797477374083106,-0.04674437345278892,0.10833661983920251,0.047014988320828024,,
10,47,3,online_static_3step,-0.3552477606913379,-0.06605947874397433,0.07430721594470338,0.027699883029642658,,
10,48,1,online_static_3step,0.05081237594652399,0.0035745981275201455,0.1262912383834569,0.056480582959870386,,
10,48,2,online_static_3step,-0.07962803950547537,-0.010630813909111692,0.0828757789010196,0.04227517092323851,,
10,48,3,online_static_3step,0.0056271997205885604,-0.0235556512354288,0.08196494898312637,0.029350333596921383,,
10,49,1,online_static_3step,-0.15072879026606578,-0.021689778996260567,0.10422226653300076,0.05161623133081239,,
10,49,2,online_static_3step,-0.13922229460243385,-0.02386116757407275,0.11075045999351463,0.04944484275300015,,
10,49,3,online_static_3step,-0.2991148307347238,-0.052222311733923,0.06374120536885189,0.02108369859314994,,
10,50,1,online_static_3step,-0.07448835246052066,-0.01718703966884927,0.12440287578154063,0.051406887219148836,,
10,50,2,online_static_3step,-0.0618384926517751,-0.022958002494042118,0.10395050738239192,0.045635924393955946,,
10,50,3,online_static_3step,-0.20536106200560522,-0.053012022965506334,0.06465783870836217,0.015581903922491713,,
10,51,1,online_static_3step,-0.0696129588033565,-0.010489295265512122,0.1401014195851919,0.06955703550475331,,
10,51,2,online_static_3step,-0.30175033938198714,-0.04179208583189442,0.09374392754682032,0.03825424493837101,,
10,51,3,online_static_3step,-0.3454983156608885,-0.06374475298851379,0.06404425191046104,0.016301577781751692,,
1,42,1,pizza_repartition,,,0.022090699970779393,0.005969518404375753,0.007920866549401162,-0.0188425767606758
1,42,2,pizza_repartition,,,0.02776140414918782,0.02035180825135049,0.03483662455973924,-0.004460286913701039
1,42,3,pizza_repartition,,,0.03597080435144581,0.020454353266472033,0.06969544043609621,-0.004357741898579515
1,43,1,pizza_repartition,,,0.04198694253453328,0.020326002840221038,0.061123847944694165,0.012497779102923157
1,43,2,pizza_repartition,,,0.021632839254468628,0.00547292589231531,0.013476358535376542,-0.0023552978449825623
1,43,3,pizza_repartition,,,0.024387250359016954,0.011298410810486477,0.0332482857455102,0.003470187073188691
1,44,1,pizza_repartition,,,0.01013916189756009,0.01222675348398757,-0.06674452411204068,-0.013269272906532348
1,44,2,pizza_repartition,,,0.009177215245060294,-0.005626148821369586,-0.05181260989760916,-0.031122175211889536
1,44,3,pizza_repartition,,,0.04722211056747738,0.025341223376481297,0.07203456619220283,-0.00015480301403869579
1,45,1,pizza_repartition,,,0.040951438048379696,0.023587214981432035,0.09755535915683733,0.02675924618778791
1,45,2,pizza_repartition,,,0.04806172042946308,0.02389537712752901,0.12380748297245048,0.02706740833388488
1,45,3,pizza_repartition,,,0.04379244631631288,0.022480074387877944,0.1160247393938223,0.02565210559423392
1,46,1,pizza_repartition,,,0.049987955214517155,0.03085348803575017,0.011196269400084558,-0.0059732808883776745
1,46,2,pizza_repartition,,,0.041462305126756915,0.017748100004093888,0.011073730021283645,-0.01907866892003396
