dataset,planning_seed,k,planning_mode,P_detect,RMST,NRMST,retention_Pdet,retention_invalid_reason,degradation_NRMST,T,H,T_common,H_common,budget_total,actual_distance_total,budget_utilization,termination_reason,active_fleet,failed_drone_ids,pizza_assignment_hash
5,42,3,online_static_3step,0.12199193233731864,8033.481046600121,0.919372973975752,0.6104118147476282,none,0.06447081478912986,8737,8738,8737,8738,80000.0,80008.39195317615,1.000104899414702,budget_exhausted,2,"[3,4,2]",none
5,42,3,pizza_repartition,0.15511116055040097,7946.767760398626,0.9094492744791286,0.5525810768612466,none,0.08294280511181173,8007,8008,8737,8738,80000.0,80000.09898430697,1.0000012373038372,budget_exhausted,2,"[3,4,2]",d4cc8594cb909404258d65952cf35e63ada8bf0b03ff172b2fdde6d17deffdd5
5,49,0,dynamic_evidence_3step,0.2545819580593254,7306.08358370126,0.8346947999201714,1.0,none,0.0,8546,8547,8752,8753,200000.0,200017.49745790506,1.0000874872895253,budget_exhausted,5,[],none
5,49,0,online_static_3step,0.2045443855237779,7560.513240492397,0.8637625089103618,1.0,none,0.0,8596,8597,8752,8753,200000.0,200016.35384331355,1.0000817692165678,budget_exhausted,5,[],none
5,49,0,pizza_repartition,0.28083527914902634,7231.234120560915,0.8261435074329846,1.0,none,0.0,8011,8012,8752,8753,200000.0,200005.04612614753,1.0000252306307376,budget_exhausted,5,[],1857f2c34acf13f50e15d645acc088f7c229096aed22930214d37ca87deb9235
5,49,1,dynamic_evidence_3step,0.24825453663837882,7430.830205921087,0.848946670389705,0.9751458372416475,none,0.014251870469533579,8528,8529,8752,8753,160000.0,160007.98348006193,1.000049896750387,budget_exhausted,4,[0],none
5,49,1,online_static_3step,0.12618203960404314,7834.112243426976,0.8950202494489862,0.6168931954838462,none,0.0312577405386244,8752,8753,8752,8753,160000.0,160001.0604507255,1.0000066278170343,budget_exhausted,4,[0],none
5,49,1,pizza_repartition,0.245096650776003,7441.46012680829,0.8501611021145081,0.8727416709135803,none,0.024017594681523535,8010,8011,8752,8753,160000.0,160001.03222042153,1.0000064513776346,budget_exhausted,4,[0],6e85ed91b4cc7837d010fa8bb4e11e4ed399f283e8696a01f9983def60551e1e
5,49,2,dynamic_evidence_3step,0.20042712286171058,7694.32289495344,0.8790497994919958,0.7872793672794556,none,0.04435499957182443,8504,8505,8752,8753,120000.0,120002.01277646581,1.0000167731372152,budget_exhausted,3,"[0,2]",none
5,49,2,online_static_3step,0.15158993653255665,7827.160194675558,0.8942260019051249,0.7411102296666784,none,0.03046349299476314,8577,8578,8752,8753,120000.0,120011.26202899635,1.0000938502416363,budget_exhausted,3,"[0,2]",none
5,49,2,pizza_repartition,0.20286854490025236,7681.227084220706,0.8775536483743523,0.722375570174,none,0.051410140941367755,8010,8011,8752,8753,120000.0,120008.63482846522,1.0000719569038767,budget_exhausted,3,"[0,2]",964ca46957dbbbbe9fa7ca6b7fdc179baf499833a33076d674074f113331abdf
5,49,3,dynamic_evidence_3step,0.16028297068027064,7940.701182047037,0.9071976673194375,0.6295928112978054,none,0.07250286739926615,8525,8526,8752,8753,80000.0,80003.42491269394,1.0000428114086743,budget_exhausted,2,"[0,2,3]",none
5,49,3,online_static_3step,0.11133508402546685,8147.576086718132,0.9308324102271371,0.5443076999662958,none,0.06706990131677537,8539,8540,8752,8753,80000.0,80004.52183198388,1.0000565228997984,budget_exhausted,2,"[0,2,3]",none
5,49,3,pizza_repartition,0.1551025179152551,7958.746324787843,0.90925926251432,0.5522900056760651,none,0.0831157550813354,8007,8008,8752,8753,80000.0,80001.59775808678,1.0000199719760847,budget_exhausted,2,"[0,2,3]",5ac4637e09721ad2893258aa81306b30f59de46ded16b0eb3307941523e08c25
5,47,0,dynamic_evidence_3step,0.28038048247156666,7415.652034050604,0.822772887390503,1.0,none,0.0,8528,8529,9012,9013,200000.0,200024.7453703069,1.0001237268515344,budget_exhausted,5,[],none
5,47,0,online_static_3step,0.15533674154114518,7939.083694050276,0.8808480743426468,1.0,none,0.0,9012,9013,9012,9013,200000.0,200012.46396461685,1.0000623198230842,budget_exhausted,5,[],none
5,47,0,pizza_repartition,0.28089256663132095,7417.639378917189,0.8229933849902573,1.0,none,0.0,8012,8013,9012,9013,200000.0,200012.22439650897,1.0000611219825448,budget_exhausted,5,[],1fab15a6b9da3b8b758550f8d4e3533cff416828c946835dd23bd72df7c832b8
5,47,1,dynamic_evidence_3step,0.2461361054965971,7635.81315507477,0.8471999506351682,0.8778646192734108,none,0.024427063244665148,8545,8546,9012,9013,160000.0,160011.31097329443,1.00007069358309,budget_exhausted,4,[0],none
5,47,1,online_static_3step,0.15073054330471278,7994.043556846243,0.8869459177683615,0.9703470139084105,none,0.006097843425714733,8686,8687,9012,9013,160000.0,160015.9994223784,1.000099996389865,budget_exhausted,4,[0],none
5,47,1,pizza_repartition,0.24508003370831843,7637.912824893683,0.8474329107837216,0.8725045188895745,none,0.024439525793464312,8011,8012,9012,9013,160000.0,160007.8206849768,1.0000488792811049,budget_exhausted,4,[0],db22d96c578ac5362d4b373302b08f1f951eddb4ed7ee6a47d37c23fe32c4cea
5,47,2,dynamic_evidence_3step,0.21334606420023428,7869.453751541258,0.8731225731211869,0.7609162460938046,none,0.05034968573068388,8549,8550,9012,9013,120000.0,120000.71201821227,1.0000059334851024,budget_exhausted,3,"[0,2]",none
5,47,2,online_static_3step,0.09527876677457393,8286.735773734265,0.9194203676616293,0.6133691606331059,none,0.03857229331898249,8862,8863,9012,9013,120000.0,120011.81299843188,1.000098441653599,budget_exhausted,3,"[0,2]",none
5,47,2,pizza_repartition,0.20299457613369157,7887.179929742809,0.8750893076381681,0.7226769243777369,none,0.05209592264791074,8010,8011,9012,9013,120000.0,120010.79405443162,1.000089950453597,budget_exhausted,3,"[0,2]",964ca46957dbbbbe9fa7ca6b7fdc179baf499833a33076d674074f113331abdf
5,47,3,dynamic_evidence_3step,0.1602025223027161,8159.726074138612,0.9053285336889617,0.571375442721703,none,0.08255564629845868,8525,8526,9012,9013,80000.0,80008.3793891735,1.0001047423646687,budget_exhausted,2,"[0,2,3]",none
5,47,3,online_static_3step,0.11134355255988243,8378.68728392155,0.929622465762959,0.7167882592051801,none,0.04877439142031226,8539,8540,9012,9013,80000.0,80009.47630846346,1.0001184538557932,budget_exhausted,2,"[0,2,3]",none
5,47,3,pizza_repartition,0.15511790741613568,8178.038135553399,0.9073602724457338,0.5522321550777529,none,0.08436688745547649,8008,8009,9012,9013,80000.0,80007.06634047092,1.0000883292558864,budget_exhausted,2,"[0,2,3]",9dc284199ee3c047db254e9e43b7576c0afbfedb703aef34f2d0bce9f110296c
5,48,0,dynamic_evidence_3step,0.27498983700794455,7323.277929565602,0.8300212999620993,1.0,none,0.0,8545,8546,8822,8823,200000.0,200009.38905670436,1.0000469452835217,budget_exhausted,5,[],none
5,48,0,online_static_3step,0.20833522997683382,7513.2369179647685,0.8515512771126339,1.0,none,0.0,8822,8823,8822,8823,200000.0,200010.6923069526,1.0000534615347632,budget_exhausted,5,[],none
5,48,0,pizza_repartition,0.2807074622678873,7282.605138511408,0.8254114403843826,1.0,none,0.0,8011,8012,8822,8823,200000.0,200009.03321138062,1.0000451660569032,budget_exhausted,5,[],f1e2d5a1d0e50b2cd665d4c201166c11c7ee6832f94f1228b66b3c95cace34db
5,48,1,dynamic_evidence_3step,0.2403697609197269,7527.789217224281,0.8532006366569512,0.874104161575915,none,0.02317933669485195,8550,8551,8822,8823,160000.0,160002.56910153333,1.0000160568845833,budget_exhausted,4,[4],none
5,48,1,online_static_3step,0.183611541476529,7705.351156902265,0.8733255306474289,0.8813273755809135,none,0.021774253534795007,8628,8629,8822,8823,160000.0,160000.57180198398,1.0000035737624,budget_exhausted,4,[4],none
5,48,1,pizza_repartition,0.24502988648049287,7495.411668821676,0.8495309609907827,0.872901220725845,none,0.024119520606400102,8010,8011,8822,8823,160000.0,160000.87255076814,1.0000054534423009,budget_exhausted,4,[4],ed43f1107d0f224afa50dcb743d2c48eec521ed0df6e1a9dae28731ff58cb15a
5,48,2,dynamic_evidence_3step,0.20051333989903802,7763.819501027738,0.8799523405902457,0.7291663651309598,none,0.04993104062814646,8541,8542,8822,8823,120000.0,120004.42090785671,1.0000368408988058,budget_exhausted,3,"[4,1]",none
5,48,2,online_static_3step,0.13042695720184994,8034.44834987291,0.9106254505126272,0.6260436951366938,none,0.059074173399993324,8686,8687,8822,8823,120000.0,120001.54885639506,1.0000129071366255,budget_exhausted,3,"[4,1]",none
5,48,2,pizza_repartition,0.2028400554555344,7737.375934416035,0.8769552232138769,0.7226030039128716,none,0.051543782829494234,8010,8011,8822,8823,120000.0,120010.00385991027,1.0000833654992523,budget_exhausted,3,"[4,1]",1bc7674aada3d3ccea6005e7eabe6adc8afc751ab8afd2fc1a2c8797efba087e
5,48,3,dynamic_evidence_3step,0.16018566827149283,7999.963109829312,0.906716888793983,0.5825148667834769,none,0.07669558883188377,8524,8525,8822,8823,80000.0,80000.79247471603,1.0000099059339504,budget_exhausted,2,"[4,1,3]",none
5,48,3,online_static_3step,0.11120875747742387,8210.585527830926,0.9305888618192142,0.5337971762614989,none,0.07903758470658029,8539,8540,8822,8823,80000.0,80004.52183198386,1.0000565228997982,budget_exhausted,2,"[4,1,3]",none
5,48,3,pizza_repartition,0.1551121068401272,8018.576389583501,0.908826520410688,0.5525756443628107,none,0.08341508002630538,8007,8008,8822,8823,80000.0,80001.12787587926,1.0000140984484909,budget_exhausted,2,"[4,1,3]",2abe3514da153818740655c425e4d2ef3dba78e470d00585ae16c403f04250e4
5,46,0,dynamic_evidence_3step,0.2602977126680589,7287.901356512458,0.8374972829823555,1.0,none,0.0,8524,8525,8701,8702,200000.0,200000.06424370466,1.0000003212185233,budget_exhausted,5,[],none
5,46,0,online_static_3step,0.1317809783737669,7778.612832881391,0.8938879375869215,1.0,none,0.0,8701,8702,8701,8702,200000.0,200001.3452261932,1.000006726130966,budget_exhausted,5,[],none
5,46,0,pizza_repartition,0.28082331621729484,7194.735465629215,0.8267910211019552,1.0,none,0.0,8012,8013,8701,8702,200000.0,200014.84617339322,1.0000742308669661,budget_exhausted,5,[],dee9e58c159c54f663182f6cd188561bada92b34466d5696ee16fab80e0aef54
