dataset,planning_seed,condition_id,control,method,dPdet,dRMST_rel,dL,H_common,exposure_multiplicity_control,exposure_multiplicity_method,revisit_fraction_control,revisit_fraction_method,replans_control,replans_method,planner_wall_time_control,planner_wall_time_method,initial_positions_hash,planning_seed_common,alpha,w
7,42,alpha_0.5,online_static_3step,dynamic_3step,0.05070093782570516,0.019212428072831585,0.07388801555826498,8233.0,24.62956629877196,10.141508840369974,0.9593983918405473,0.901395343065784,5622.0,4811.0,483.59430618886836,504.27060986938886,006da335f256203469592a62a852eccffab880f7309f6633631136cbb4337c3b,42,0.5,0.5
7,42,alpha_0.75,online_static_3step,dynamic_3step,0.039159324154579844,0.014764954137336713,0.07388801555826498,8233.0,24.62956629877196,10.141508840369974,0.9593983918405473,0.901395343065784,5622.0,4811.0,483.59430618886836,504.27060986938886,006da335f256203469592a62a852eccffab880f7309f6633631136cbb4337c3b,42,0.75,0.5
7,43,alpha_0,online_static_3step,dynamic_3step,0.11912062131705234,0.07284086124351122,0.11926857990950414,8246.0,57.58216654384672,9.524163130598774,0.9826335120746362,0.8950038983701101,4503.0,4436.0,399.6417626941111,488.1612991322763,70146d654c8d3e205eae3a8c1c32c196b80ae26034bb8660a9cf58293ef56344,43,0.0,0.5
7,43,alpha_0.25,online_static_3step,dynamic_3step,0.0997420930964956,0.059247525857756236,0.11926857990950414,8246.0,57.58216654384672,9.524163130598774,0.9826335120746362,0.8950038983701101,4503.0,4436.0,399.6417626941111,488.1612991322763,70146d654c8d3e205eae3a8c1c32c196b80ae26034bb8660a9cf58293ef56344,43,0.25,0.5
7,43,alpha_0.5,online_static_3step,dynamic_3step,0.08036356487593882,0.045654190472005564,0.11926857990950414,8246.0,57.58216654384672,9.524163130598774,0.9826335120746362,0.8950038983701101,4503.0,4436.0,399.6417626941111,488.1612991322763,70146d654c8d3e205eae3a8c1c32c196b80ae26034bb8660a9cf58293ef56344,43,0.5,0.5
7,43,alpha_0.75,online_static_3step,dynamic_3step,0.06098503665538206,0.032060855086243636,0.11926857990950414,8246.0,57.58216654384672,9.524163130598774,0.9826335120746362,0.8950038983701101,4503.0,4436.0,399.6417626941111,488.1612991322763,70146d654c8d3e205eae3a8c1c32c196b80ae26034bb8660a9cf58293ef56344,43,0.75,0.5
7,44,alpha_0,online_static_3step,dynamic_3step,0.16444703417075152,0.07932145673488988,0.16465590033671007,8255.0,40.003819709702064,9.661137299361537,0.9750023870906139,0.8964925174941789,5735.0,4676.0,535.9285435322672,485.19025383749977,11105a2cc12ea269694f1fa8b45ff83d4588344c41b1c28dbb5cea328ef765c7,44,0.0,0.5
7,44,alpha_0.25,online_static_3step,dynamic_3step,0.1327004330942848,0.06359924863800348,0.16465590033671007,8255.0,40.003819709702064,9.661137299361537,0.9750023870906139,0.8964925174941789,5735.0,4676.0,535.9285435322672,485.19025383749977,11105a2cc12ea269694f1fa8b45ff83d4588344c41b1c28dbb5cea328ef765c7,44,0.25,0.5
7,44,alpha_0.5,online_static_3step,dynamic_3step,0.10095383201781812,0.04787704054109559,0.16465590033671007,8255.0,40.003819709702064,9.661137299361537,0.9750023870906139,0.8964925174941789,5735.0,4676.0,535.9285435322672,485.19025383749977,11105a2cc12ea269694f1fa8b45ff83d4588344c41b1c28dbb5cea328ef765c7,44,0.5,0.5
7,44,alpha_0.75,online_static_3step,dynamic_3step,0.06920723094135144,0.032154832444179986,0.16465590033671007,8255.0,40.003819709702064,9.661137299361537,0.9750023870906139,0.8964925174941789,5735.0,4676.0,535.9285435322672,485.19025383749977,11105a2cc12ea269694f1fa8b45ff83d4588344c41b1c28dbb5cea328ef765c7,44,0.75,0.5
7,45,alpha_0,online_static_3step,dynamic_3step,0.12391732306303388,0.05295083167767049,0.12407843812633106,8263.0,31.14429729195493,9.774770973963356,0.9678913930654548,0.8976958127547277,4465.0,3920.0,424.4287522980012,427.0415766702499,b98c42be92a0d05dad7817d60024cbaa2a663d58f33ed7d93a3770ce5fd54421,45,0.0,0.5
7,45,alpha_0.25,online_static_3step,dynamic_3step,0.10135469118462728,0.043141823170419966,0.12407843812633106,8263.0,31.14429729195493,9.774770973963356,0.9678913930654548,0.8976958127547277,4465.0,3920.0,424.4287522980012,427.0415766702499,b98c42be92a0d05dad7817d60024cbaa2a663d58f33ed7d93a3770ce5fd54421,45,0.25,0.5
7,45,alpha_0.5,online_static_3step,dynamic_3step,0.07879205930622066,0.033332814663172956,0.12407843812633106,8263.0,31.14429729195493,9.774770973963356,0.9678913930654548,0.8976958127547277,4465.0,3920.0,424.4287522980012,427.0415766702499,b98c42be92a0d05dad7817d60024cbaa2a663d58f33ed7d93a3770ce5fd54421,45,0.5,0.5
7,45,alpha_0.75,online_static_3step,dynamic_3step,0.05622942742781405,0.02352380615592672,0.12407843812633106,8263.0,31.14429729195493,9.774770973963356,0.9678913930654548,0.8976958127547277,4465.0,3920.0,424.4287522980012,427.0415766702499,b98c42be92a0d05dad7817d60024cbaa2a663d58f33ed7d93a3770ce5fd54421,45,0.75,0.5
