dataset,planning_seed,k,comparator,dRetention_Pdet,dDegradation_NRMST,dPdet,dRMST_rel
1,49,3,online_static_3step_vs_random_uniform_n8_uncoordinated,-0.2773676778970652,-0.08331684325457253,0.06444313475134322,-0.03233237241562996
1,49,0,pizza_repartition_vs_random_uniform_n8_uncoordinated,,,0.2947530681274595,0.0900898964958109
1,49,1,pizza_repartition_vs_random_uniform_n8_uncoordinated,0.02430603576644441,-0.026041490998985964,0.2554890297601671,0.06383266340045678
1,49,2,pizza_repartition_vs_random_uniform_n8_uncoordinated,0.029804067846998183,-0.05530750207147421,0.208391895875623,0.03435087926887534
1,49,3,pizza_repartition_vs_random_uniform_n8_uncoordinated,-0.08017440868561954,-0.08954551656744514,0.15557709221695734,6.261702330782852e-06
1,49,0,dynamic_evidence_3step_vs_online_static_3step,,,0.13220897927876488,0.07035048094453027
1,49,1,dynamic_evidence_3step_vs_online_static_3step,0.021264245593666686,-0.0264982028225352,0.11125008702574407,0.04385227812199516
1,49,2,dynamic_evidence_3step_vs_online_static_3step,0.24269280738714427,-0.006878412174276996,0.1566470367930119,0.06347206877025321
1,49,3,dynamic_evidence_3step_vs_online_static_3step,0.20897458813679692,-0.0225545275340132,0.1224221915383274,0.047795953410516984
1,49,0,dynamic_evidence_3step_vs_pizza_repartition,,,0.05027562863921048,0.031783173513696854
1,49,1,dynamic_evidence_3step_vs_pizza_repartition,-0.06166252139256445,-0.015249707268744903,0.020527693511326495,0.0165334662449521
1,49,2,dynamic_evidence_3step_vs_pizza_repartition,0.04037609363184702,-0.004524478592594791,0.0504281543358481,0.027258694921102087
1,49,3,dynamic_evidence_3step_vs_pizza_repartition,0.01178131892535128,-0.016325854221140593,0.03128823407271328,0.015457319292556244
1,49,0,online_static_3step_vs_pizza_repartition,,,-0.0819333506395544,-0.038567307430833406
1,49,1,online_static_3step_vs_pizza_repartition,-0.08292676698623114,0.011248495553790299,-0.09072239351441758,-0.027318811877043058
1,49,2,online_static_3step_vs_pizza_repartition,-0.20231671375529725,0.002353933581682205,-0.1062188824571638,-0.036213373849151125
1,49,3,online_static_3step_vs_pizza_repartition,-0.19719326921144564,0.006228673312872607,-0.09113395746561412,-0.03233863411796074
1,50,0,dynamic_evidence_3step_vs_random_uniform_n8_uncoordinated,,,0.32329320004753137,0.11612214760824442
1,50,1,dynamic_evidence_3step_vs_random_uniform_n8_uncoordinated,-0.010335326275697554,-0.02156298787308363,0.2923035606678462,0.09449567414186459
1,50,2,dynamic_evidence_3step_vs_random_uniform_n8_uncoordinated,0.07022604975552449,-0.03488480116319916,0.26375054409568394,0.081004212835193
