dataset,planning_seed,k,same_failure_identity,same_active_uav_ids,same_survivor_initial_positions,same_victim_seed,same_sensor_seed,same_environment_seed_semantics,same_domain,same_fov,same_pd,same_dt,same_speed,same_budget,same_termination_rule,same_sensor_pipeline,same_exposure_pipeline,random_target_exclusion_off,random_prior_access_false,random_belief_access_false,random_observation_access_false,same_failure_seed,no_hold_events,budget_expected,budget_actual,budget_error,max_step_distance,steps,termination_reason,total_exposure_events,step_bound_ok
10,49,0,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,200000.0,200000.0,0.0,5.000000000464159,8000,budget_exhausted,151939,True
10,49,1,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,160000.0,160000.0,0.0,5.000000000464159,8000,budget_exhausted,121607,True
10,49,2,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,120000.0,120000.0,0.0,5.000000000464159,8000,budget_exhausted,91225,True
10,49,3,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,80000.0,80000.0,0.0,5.000000000464159,8000,budget_exhausted,60771,True
10,50,0,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,200000.0,200000.0,0.0,5.000000000465436,8000,budget_exhausted,151829,True
10,50,1,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,160000.0,160000.0,0.0,5.000000000465436,8000,budget_exhausted,121454,True
10,50,2,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,120000.0,120000.0,0.0,5.000000000462617,8000,budget_exhausted,91080,True
10,50,3,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,80000.0,80000.0,0.0,5.000000000462617,8000,budget_exhausted,60754,True
10,51,0,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,200000.0,200000.0,0.0,5.000000000465358,8000,budget_exhausted,152247,True
10,51,1,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,160000.0,160000.0,0.0,5.000000000465358,8000,budget_exhausted,121838,True
10,51,2,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,120000.0,120000.0,0.0,5.000000000464819,8000,budget_exhausted,91324,True
10,51,3,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,80000.0,80000.0,0.0,5.000000000464819,8000,budget_exhausted,60854,True
