dataset,dPdet_n,dPdet_mean,dPdet_sd,dPdet_se,dPdet_ci_lo,dPdet_ci_hi,dPdet_favorable_count,dPdet_n_total,dPdet_tost_p_lower,dPdet_tost_p_upper,dPdet_tost_p_max,dPdet_equivalent,dRMST_rel_n,dRMST_rel_mean,dRMST_rel_sd,dRMST_rel_se,dRMST_rel_ci_lo,dRMST_rel_ci_hi,dRMST_rel_favorable_count,dRMST_rel_n_total,dRMST_rel_tost_p_lower,dRMST_rel_tost_p_upper,dRMST_rel_tost_p_max,dRMST_rel_equivalent,state,contrast,method_label,source_planning_mode
6,10,0.24181593819016367,0.024925176802213032,0.007882032977738538,0.22398554083216077,0.2596463355481666,10,10,7.083336780405448e-11,0.999999999851781,0.999999999851781,False,10,0.0854349292568847,0.014830226971288914,0.0046897295446533495,0.07482602397586076,0.09604383453790864,10,10,1.6141708428084983e-09,0.9999998944236335,0.9999998944236335,False,IMPROVEMENT,dynamic_3step,dynamic_evidence_3step,dynamic_3step
7,10,0.17405579990534095,0.017737726465606934,0.005609161614436623,0.1613669947819504,0.1867446050287315,10,10,5.579395215813146e-11,0.9999999998442592,0.9999999998442592,False,10,0.07098559242579756,0.00687907524478419,0.002175354596919837,0.06606459844274935,0.07590658640884577,10,10,6.364151529184008e-12,0.9999999988838855,0.9999999988838855,False,IMPROVEMENT,dynamic_3step,dynamic_evidence_3step,dynamic_3step
8,10,0.2452605687281127,0.005195034120004867,0.0016428140341503885,0.24154426519361397,0.24897687226261142,10,10,4.815270636407011e-17,0.9999999999999999,0.9999999999999999,False,10,0.10628036221704458,0.005108017535167538,0.0016152969739208654,0.10262630659744323,0.10993441783664593,10,10,2.3199334392109493e-14,0.9999999999992899,0.9999999999992899,False,IMPROVEMENT,dynamic_3step,dynamic_evidence_3step,dynamic_3step
9,10,0.20716641255615667,0.02020299850728946,0.006388749084801657,0.19271405805265213,0.22161876705966121,10,10,4.070648930622492e-11,0.9999999999035336,0.9999999999035336,False,10,0.06257774707452361,0.010723988757953716,0.003391223007717388,0.054906267656969654,0.07024922649207757,10,10,7.952679161662828e-10,0.9999997383511243,0.9999997383511243,False,IMPROVEMENT,dynamic_3step,dynamic_evidence_3step,dynamic_3step
10,10,0.27181280114903456,0.01700249847871998,0.005376662110630305,0.2596499464435265,0.2839756558545426,10,10,8.413914518812e-13,0.9999999999983714,0.9999999999983714,False,10,0.08179521234045943,0.014096998802701242,0.0044578624389202525,0.0717108268934869,0.09187959778743196,10,10,1.4061364080886745e-09,0.9999998883038396,0.9999998883038396,False,IMPROVEMENT,dynamic_3step,dynamic_evidence_3step,dynamic_3step
11,10,0.30139671067728613,0.01219837559365509,0.0038574650630158677,0.29267051845474096,0.3101229028998313,10,10,1.7389240892217774e-14,0.9999999999999685,0.9999999999999685,False,10,0.13781771691327221,0.0074502044884056234,0.002355961521737129,0.1324881616815976,0.14314727214494682,10,10,9.298070376300326e-14,0.9999999999987175,0.9999999999987175,False,IMPROVEMENT,dynamic_3step,dynamic_evidence_3step,dynamic_3step
12,10,0.3114211630299849,0.011268872270125132,0.003563530303510763,0.30335989742904956,0.31948242863092025,10,10,6.414020812940383e-15,0.9999999999999886,0.9999999999999886,False,10,0.12289901466120054,0.010852761470517872,0.0034319445149354794,0.11513541679441323,0.13066261252798783,10,10,6.625835456403684e-12,0.9999999998751747,0.9999999998751747,False,IMPROVEMENT,dynamic_3step,dynamic_evidence_3step,dynamic_3step
13,10,0.3594886114028183,0.011703403735804363,0.003700941218166529,0.35111650071704775,0.36786072208858883,10,10,2.574171541734068e-15,0.9999999999999958,0.9999999999999958,False,10,0.14847310865349136,0.006996262092211946,0.002212412331888472,0.14346828424984678,0.15347793305713595,10,10,2.938358350533418e-14,0.9999999999996646,0.9999999999996646,False,IMPROVEMENT,dynamic_3step,dynamic_evidence_3step,dynamic_3step
14,10,0.35328020540011834,0.011902640768181883,0.0037639454998230964,0.34476556912731143,0.36179484167292525,10,10,3.4893092093515887e-15,0.9999999999999942,0.9999999999999942,False,10,0.18652574636957867,0.005297486710448088,0.0016752123879488865,0.1827361526669718,0.19031534007218553,10,10,3.8605587738409627e-16,0.9999999999999973,0.9999999999999973,False,IMPROVEMENT,dynamic_3step,dynamic_evidence_3step,dynamic_3step
15,10,0.37979951612100465,0.014698458648074276,0.0046480607421714,0.36928487221998046,0.39031416002202884,10,10,1.2343638532148746e-14,0.9999999999999801,0.9999999999999801,False,10,0.20627495838444215,0.005708065992725397,0.0018050489571562363,0.20219165395680974,0.21035826281207456,10,10,3.3227373145189376e-16,0.9999999999999981,0.9999999999999981,False,IMPROVEMENT,dynamic_3step,dynamic_evidence_3step,dynamic_3step
20,10,0.14697113476481619,0.004677622363637875,0.0014791940703236064,0.143624965303465,0.15031730422616738,10,10,1.486858808578656e-15,0.9999999999999949,0.9999999999999949,False,10,0.02075491924626352,0.015821752526830338,0.005003277456030818,0.009436719311636626,0.03207311918089041,9,10,9.579019826479257e-06,0.5583029057164555,0.5583029057164555,False,IMPROVEMENT,dynamic_3step,dynamic_evidence_3step,dynamic_3step
25,10,0.09173506675311432,0.008028714148073456,0.002538902339033049,0.08599167064122559,0.09747846286500306,10,10,9.343026229771399e-12,0.9999999999338368,0.9999999999338368,False,10,-0.036610158316931575,0.007346903703889249,0.0023232949454217292,-0.041865816619010204,-0.031354500014852946,0,10,0.9999731505355465,7.906750448409649e-10,0.9999731505355465,False,WORSENING,dynamic_3step,dynamic_evidence_3step,dynamic_3step
30,10,0.22748699852123325,0.012650349815527423,0.004000391861495755,0.218437483417751,0.2365365136247155,10,10,2.7508934628081863e-13,0.999999999999394,0.999999999999394,False,10,0.07602747587475261,0.008396748058656664,0.0026552848803952176,0.0700208041632968,0.08203414758620843,10,10,2.3393585462464174e-11,0.9999999971707563,0.9999999971707563,False,IMPROVEMENT,dynamic_3step,dynamic_evidence_3step,dynamic_3step
1,10,0.12088448200523463,0.04782747321365973,0.015124375008585772,0.08667076874671617,0.1550981952637531,10,10,5.876990011172469e-06,0.9999779327246889,0.9999779327246889,False,10,0.04993375696363076,0.0248305894168819,0.007852121820181902,0.03217102334494219,0.06769649058231933,10,10,4.650024558704604e-06,0.9979303934715946,0.9979303934715946,False,IMPROVEMENT,dynamic_3step_vs_online_static_3step,dynamic_evidence_3step_vs_online_static_3step,dynamic_3step_vs_online_static_3step
2,10,0.14583791979772082,0.02156614561972621,0.006819814050919834,0.13041042859348068,0.16126541100196096,10,10,1.397557859559108e-09,0.999999995292998,0.999999995292998,False,10,0.06803971899712241,0.01636413403946839,0.005174793550101182,0.05633352270175907,0.07974591529248576,10,10,1.880863380714131e-08,0.999996689645608,0.999996689645608,False,IMPROVEMENT,dynamic_3step_vs_online_static_3step,dynamic_evidence_3step_vs_online_static_3step,dynamic_3step_vs_online_static_3step
3,10,0.1401883065886676,0.03207754268749151,0.010143809663375195,0.11724141490060175,0.16313519827673345,10,10,6.315694498850522e-08,0.999999783253433,0.999999783253433,False,10,0.06636923208166076,0.021236295014824373,0.0067155061310124236,0.05117770178557575,0.08156076237774577,10,10,2.128886184799379e-07,0.9999648538512862,0.9999648538512862,False,IMPROVEMENT,dynamic_3step_vs_online_static_3step,dynamic_evidence_3step_vs_online_static_3step,dynamic_3step_vs_online_static_3step
4,10,0.04170228708414056,0.024374222487103112,0.007707805925493992,0.02426601870032588,0.05913855546795524,10,10,4.3878012377385265e-05,0.9986874078095161,0.9986874078095161,False,10,0.014730952092514304,0.015385748683014887,0.004865400934526304,0.003724650518590545,0.025737253666438063,9,10,2.717393620903344e-05,0.1534922169515595,0.1534922169515595,False,IMPROVEMENT,dynamic_3step_vs_online_static_3step,dynamic_evidence_3step_vs_online_static_3step,dynamic_3step_vs_online_static_3step
5,10,0.10741647360083277,0.03523483821858927,0.011142234175829185,0.08221098875040583,0.1326219584512597,10,10,1.154785256601281e-06,0.9999945926235175,0.9999945926235175,False,10,0.04377928763952583,0.01915437652815297,0.00605714569894317,0.030077072110549198,0.05748150316850246,10,10,1.1625057817295524e-06,0.9982599786965709,0.9982599786965709,False,IMPROVEMENT,dynamic_3step_vs_online_static_3step,dynamic_evidence_3step_vs_online_static_3step,dynamic_3step_vs_online_static_3step
6,10,0.008763747070043132,0.0325070316923193,0.010279626011900682,-0.01449038254366474,0.032017876683751,6,10,0.05062141887858066,0.45345860124096077,0.45345860124096077,False,10,0.0044820073811323476,0.019097205246396697,0.006039066552233064,-0.009179310276616738,0.018143325038881435,6,10,0.0014339579933270372,0.01510377637534081,0.01510377637534081,True,INCONCLUSIVE,dynamic_3step_vs_online_static_3step,dynamic_evidence_3step_vs_online_static_3step,dynamic_3step_vs_online_static_3step
7,10,0.11738373924920795,0.03042211758222747,0.00962031828052936,0.09562106734250994,0.13914641115590595,10,10,1.6578743117277455e-07,0.9999992885809444,0.9999992885809444,False,10,0.05096130348334747,0.01950365129336866,0.0061675960776733825,0.03700923183899252,0.06491337512770243,10,10,5.505205462578973e-07,0.9996404529625882,0.9996404529625882,False,IMPROVEMENT,dynamic_3step_vs_online_static_3step,dynamic_evidence_3step_vs_online_static_3step,dynamic_3step_vs_online_static_3step
8,10,0.17373378281617863,0.03291474295466583,0.01040855563357243,0.15018799413530914,0.1972795714970481,10,10,1.3616179955229578e-08,0.9999999627072701,0.9999999627072701,False,10,0.08600972618062844,0.018995796845625242,0.006006998400201767,0.07242095172269465,0.09959850063856222,10,10,1.3646556918797869e-08,0.9999991880914988,0.9999991880914988,False,IMPROVEMENT,dynamic_3step_vs_online_static_3step,dynamic_evidence_3step_vs_online_static_3step,dynamic_3step_vs_online_static_3step
9,10,0.126868262043766,0.025693166993922212,0.008124892800385575,0.10848847759840621,0.1452480464891258,10,10,2.0511150624039823e-08,0.9999999188557932,0.9999999188557932,False,10,0.064399670675406,0.015376896411602298,0.004862601600513326,0.053399701634970764,0.07539963971584124,10,10,1.5786370757559857e-08,0.9999962070072965,0.9999962070072965,False,IMPROVEMENT,dynamic_3step_vs_online_static_3step,dynamic_evidence_3step_vs_online_static_3step,dynamic_3step_vs_online_static_3step
10,10,0.15302681348279873,0.022657396523243424,0.007164897886302938,0.13681868840858083,0.16923493855701663,10,10,1.4513632912305298e-09,0.9999999953837706,0.9999999953837706,False,10,0.07361107485212451,0.010585208288586282,0.003347336769922556,0.06603887300174639,0.08118327670250262,10,10,2.321990046704784e-10,0.9999999681167178,0.9999999681167178,False,IMPROVEMENT,dynamic_3step_vs_online_static_3step,dynamic_evidence_3step_vs_online_static_3step,dynamic_3step_vs_online_static_3step
11,10,0.11977486666398285,0.043875473741391814,0.013874643044170767,0.08838824352034366,0.15116148980762203,10,10,3.11194526212124e-06,0.9999879102192202,0.9999879102192202,False,10,0.05012291169712703,0.02832422299911799,0.008956905763173822,0.029860983168454844,0.07038484022579922,10,10,1.3148266270913774e-05,0.9958259817248074,0.9958259817248074,False,IMPROVEMENT,dynamic_3step_vs_online_static_3step,dynamic_evidence_3step_vs_online_static_3step,dynamic_3step_vs_online_static_3step
12,10,0.05015452459419094,0.02636786134920762,0.00833824988910165,0.031292092882358305,0.06901695630602357,10,10,2.502654241112478e-05,0.9995236711016757,0.9995236711016757,False,10,0.02085662682292891,0.010742840678959671,0.0033971845085822273,0.013171661553492524,0.028541592092365294,10,10,3.7779626313645537e-07,0.5967084262249114,0.5967084262249114,False,IMPROVEMENT,dynamic_3step_vs_online_static_3step,dynamic_evidence_3step_vs_online_static_3step,dynamic_3step_vs_online_static_3step
13,10,0.047438668952517304,0.03792341882718168,0.011992438015440553,0.02030988939647497,0.07456744850855965,9,10,0.0004939907684329796,0.9938590891108416,0.9938590891108416,False,10,0.0197309159741931,0.01990979808995721,0.006296030971833475,0.00548830441406066,0.03397352753432554,9,10,6.962125057129782e-05,0.48342150953424473,0.48342150953424473,False,IMPROVEMENT,dynamic_3step_vs_online_static_3step,dynamic_evidence_3step_vs_online_static_3step,dynamic_3step_vs_online_static_3step
14,10,0.18532285217767336,0.028761381831619012,0.00909514752417015,0.1647481990591655,0.20589750529618123,10,10,2.4210839731489064e-09,0.9999999937186096,0.9999999937186096,False,10,0.0961426057776992,0.017040403949236005,0.005388648872891404,0.08395263513208344,0.10833257642331497,10,10,2.344981043639644e-09,0.9999999053428477,0.9999999053428477,False,IMPROVEMENT,dynamic_3step_vs_online_static_3step,dynamic_evidence_3step_vs_online_static_3step,dynamic_3step_vs_online_static_3step
15,10,0.3301539015589517,0.023579184484449137,0.007456392834016236,0.3132863691008447,0.3470214340170587,10,10,2.9231673987496382e-12,0.9999999999949682,0.9999999999949682,False,10,0.1885338422549353,0.021244232555988164,0.006718016201922315,0.17333663378396236,0.20373105072590825,10,10,9.160145253694532e-11,0.9999999993896252,0.9999999993896252,False,IMPROVEMENT,dynamic_3step_vs_online_static_3step,dynamic_evidence_3step_vs_online_static_3step,dynamic_3step_vs_online_static_3step
20,10,0.05770067179775581,0.016694677939662998,0.005279320709230216,0.04575801864066178,0.06964332495484984,10,10,2.1827535133334356e-07,0.9999958658655649,0.9999958658655649,False,10,0.02257103313540721,0.010693838839613534,0.0033816887663950823,0.01492112167015235,0.030220944600662072,10,10,2.5576434407143536e-07,0.7667320306753339,0.7667320306753339,False,IMPROVEMENT,dynamic_3step_vs_online_static_3step,dynamic_evidence_3step_vs_online_static_3step,dynamic_3step_vs_online_static_3step
25,10,0.010211684858440751,0.012092732338166974,0.003824057732338115,0.001561065268278223,0.01886230444860328,7,10,0.0002517437819281113,0.5214679110704333,0.5214679110704333,False,10,0.002664635716409275,0.005352100987346875,0.0016924829387252147,-0.0011640266863417246,0.006493298119160275,7,10,1.5044941933591615e-07,1.4650366346897015e-06,1.4650366346897015e-06,True,IMPROVEMENT,dynamic_3step_vs_online_static_3step,dynamic_evidence_3step_vs_online_static_3step,dynamic_3step_vs_online_static_3step
30,10,0.16694641698053547,0.03415314711492544,0.010800173414597285,0.1425147273312415,0.19137810662982946,10,10,2.615382202797995e-08,0.9999999257351998,0.9999999257351998,False,10,0.08217030310192067,0.021685224696382784,0.00685747016131029,0.06665762785783763,0.0976829783460037,10,10,5.98086883326346e-08,0.9999959790781962,0.9999959790781962,False,IMPROVEMENT,dynamic_3step_vs_online_static_3step,dynamic_evidence_3step_vs_online_static_3step,dynamic_3step_vs_online_static_3step
