dataset,planning_seed,victim_seed,sensor_seed,w,L_static3,L_dyn3,Pdet_static3,RMST_static3,Pdet_dyn3,RMST_dyn3,T_static,T_dynamic,T_common,horizon,revisit_weight,implementation_version,git_commit,experiment_id,config_hash,source_hash,belief_model,planning_mode,simulation_num_victims,evaluation_num_victims,victim_model,simulation_victim_model,victim_sampling_model,detection_probability,decay_tau,budget,size
7,42,25214903879,22562971646,0.5,0.09439282076718422,0.16825988868682137,0.0,8233.0,0.0,8233.0,8151,8232,8232,8233,0.5,revision_B@ff544e3dab27,ff544e3dab270c9412bea847c1119b0311242e63,b4-moving_20260825_220837_932975_cf3e8bd4,cf3e8bd4f590e54ea1c9ada123b29e903824317f2a4f17d4e44a13afc0a44817,cef0d7e99cf98289cf781ea358600304c52099759ac7cef6c0a3cc8b44b6bdc2,evidence,,0,1,random_walk,random_walk,matched_prior_random_walk,0.8,10000.0,200000.0,xlarge
7,42,25214903879,22562971646,1.0,0.005102000629007679,0.15872976885907047,0.0,8225.0,0.0,8225.0,8006,8224,8224,8225,1.0,revision_B@ff544e3dab27,ff544e3dab270c9412bea847c1119b0311242e63,b4-moving_20260825_220837_932975_cf3e8bd4,cf3e8bd4f590e54ea1c9ada123b29e903824317f2a4f17d4e44a13afc0a44817,cef0d7e99cf98289cf781ea358600304c52099759ac7cef6c0a3cc8b44b6bdc2,evidence,,0,1,random_walk,random_walk,matched_prior_random_walk,0.8,10000.0,200000.0,xlarge
7,43,25214903878,22562971647,0.0,0.18799965110145206,0.18799965110145206,0.0,8257.0,0.0,8257.0,8256,8256,8256,8257,0.0,revision_B@ff544e3dab27,ff544e3dab270c9412bea847c1119b0311242e63,b4-moving_20260825_220837_932975_cf3e8bd4,cf3e8bd4f590e54ea1c9ada123b29e903824317f2a4f17d4e44a13afc0a44817,cef0d7e99cf98289cf781ea358600304c52099759ac7cef6c0a3cc8b44b6bdc2,evidence,,0,1,random_walk,random_walk,matched_prior_random_walk,0.8,10000.0,200000.0,xlarge
7,43,25214903878,22562971647,0.5,0.047191893550107514,0.16642666019378305,0.0,8246.0,0.0,8246.0,8087,8245,8245,8246,0.5,revision_B@ff544e3dab27,ff544e3dab270c9412bea847c1119b0311242e63,b4-moving_20260825_220837_932975_cf3e8bd4,cf3e8bd4f590e54ea1c9ada123b29e903824317f2a4f17d4e44a13afc0a44817,cef0d7e99cf98289cf781ea358600304c52099759ac7cef6c0a3cc8b44b6bdc2,evidence,,0,1,random_walk,random_walk,matched_prior_random_walk,0.8,10000.0,200000.0,xlarge
7,43,25214903878,22562971647,1.0,0.00494421731500182,0.19133069124001187,0.0,8263.0,0.0,8263.0,8098,8262,8262,8263,1.0,revision_B@ff544e3dab27,ff544e3dab270c9412bea847c1119b0311242e63,b4-moving_20260825_220837_932975_cf3e8bd4,cf3e8bd4f590e54ea1c9ada123b29e903824317f2a4f17d4e44a13afc0a44817,cef0d7e99cf98289cf781ea358600304c52099759ac7cef6c0a3cc8b44b6bdc2,evidence,,0,1,random_walk,random_walk,matched_prior_random_walk,0.8,10000.0,200000.0,xlarge
7,44,25214903873,22562971640,0.0,0.20742859566125885,0.20742859566125885,0.0,8243.0,0.0,8243.0,8242,8242,8242,8243,0.0,revision_B@ff544e3dab27,ff544e3dab270c9412bea847c1119b0311242e63,b4-moving_20260825_220837_932975_cf3e8bd4,cf3e8bd4f590e54ea1c9ada123b29e903824317f2a4f17d4e44a13afc0a44817,cef0d7e99cf98289cf781ea358600304c52099759ac7cef6c0a3cc8b44b6bdc2,evidence,,0,1,random_walk,random_walk,matched_prior_random_walk,0.8,10000.0,200000.0,xlarge
7,44,25214903873,22562971640,0.5,0.04348878332077574,0.20809800284907318,0.0,8255.0,0.0,8255.0,8111,8254,8254,8255,0.5,revision_B@ff544e3dab27,ff544e3dab270c9412bea847c1119b0311242e63,b4-moving_20260825_220837_932975_cf3e8bd4,cf3e8bd4f590e54ea1c9ada123b29e903824317f2a4f17d4e44a13afc0a44817,cef0d7e99cf98289cf781ea358600304c52099759ac7cef6c0a3cc8b44b6bdc2,evidence,,0,1,random_walk,random_walk,matched_prior_random_walk,0.8,10000.0,200000.0,xlarge
7,44,25214903873,22562971640,1.0,0.004630395263730492,0.14202161645259379,0.0,8236.0,0.0,8236.0,8098,8235,8235,8236,1.0,revision_B@ff544e3dab27,ff544e3dab270c9412bea847c1119b0311242e63,b4-moving_20260825_220837_932975_cf3e8bd4,cf3e8bd4f590e54ea1c9ada123b29e903824317f2a4f17d4e44a13afc0a44817,cef0d7e99cf98289cf781ea358600304c52099759ac7cef6c0a3cc8b44b6bdc2,evidence,,0,1,random_walk,random_walk,matched_prior_random_walk,0.8,10000.0,200000.0,xlarge
7,45,25214903872,22562971641,0.0,0.16334930365678701,0.16334930365678701,0.0,8235.0,0.0,8235.0,8234,8234,8234,8235,0.0,revision_B@ff544e3dab27,ff544e3dab270c9412bea847c1119b0311242e63,b4-moving_20260825_220837_932975_cf3e8bd4,cf3e8bd4f590e54ea1c9ada123b29e903824317f2a4f17d4e44a13afc0a44817,cef0d7e99cf98289cf781ea358600304c52099759ac7cef6c0a3cc8b44b6bdc2,evidence,,0,1,random_walk,random_walk,matched_prior_random_walk,0.8,10000.0,200000.0,xlarge
7,45,25214903872,22562971641,0.5,0.06827380338869694,0.19231706462925435,0.0,8263.0,0.0,8263.0,8125,8262,8262,8263,0.5,revision_B@ff544e3dab27,ff544e3dab270c9412bea847c1119b0311242e63,b4-moving_20260825_220837_932975_cf3e8bd4,cf3e8bd4f590e54ea1c9ada123b29e903824317f2a4f17d4e44a13afc0a44817,cef0d7e99cf98289cf781ea358600304c52099759ac7cef6c0a3cc8b44b6bdc2,evidence,,0,1,random_walk,random_walk,matched_prior_random_walk,0.8,10000.0,200000.0,xlarge
