dataset,planning_seed,condition_id,control,method,dPdet,dRMST_rel,dL,H_common,exposure_multiplicity_control,exposure_multiplicity_method,revisit_fraction_control,revisit_fraction_method,replans_control,replans_method,planner_wall_time_control,planner_wall_time_method,initial_positions_hash,planning_seed_common,curve,w
7,42,tau_2000,online_static_3step,dynamic_3step,0.09079926183963988,0.037886719491807476,0.0909178980471939,8231.0,24.62956629877196,10.393200438681376,0.9593983918405473,0.9037832469507464,5622.0,4800.0,549.3952413110528,511.5104548262898,006da335f256203469592a62a852eccffab880f7309f6633631136cbb4337c3b,42,tau,0.5
7,42,tau_32000,online_static_3step,dynamic_3step,0.07422168469545218,0.02809903178618762,0.07432274678810312,8232.0,24.62956629877196,10.085304794091876,0.9593983918405473,0.9008458325834817,5622.0,4822.0,544.3770498621743,516.7603746817913,006da335f256203469592a62a852eccffab880f7309f6633631136cbb4337c3b,42,tau,0.5
7,42,w_0,online_static_3step,dynamic_3step,0.0,0.0,0.0,8249.0,9.637604290822408,9.637604290822408,0.8962397739288519,0.8962397739288519,4660.0,4660.0,413.1650778038893,456.9599280806724,006da335f256203469592a62a852eccffab880f7309f6633631136cbb4337c3b,42,w,0.0
7,42,w_025,online_static_3step,dynamic_3step,-0.014440254337688085,-0.007555563434277469,-0.014454729615069606,8248.0,9.38852573829812,9.551275992438564,0.8934870044696419,0.8953019470077435,4813.0,4825.0,484.6640042976942,523.3185035130009,006da335f256203469592a62a852eccffab880f7309f6633631136cbb4337c3b,42,w,0.25
7,42,w_075,online_static_3step,dynamic_3step,0.14555519624873076,0.07234602781757389,0.14574540939968694,8225.0,91.3912009512485,10.041000998502247,0.9890580275826177,0.9004083357676029,6553.0,4772.0,625.2608296549879,504.65744580328465,006da335f256203469592a62a852eccffab880f7309f6633631136cbb4337c3b,42,w,0.75
7,42,w_1,online_static_3step,dynamic_3step,0.15349284980893585,0.0862702439500249,0.1536713348567449,8225.0,971.8101265822785,10.27247191011236,0.9989709924061845,0.9026524473612251,5316.0,4779.0,499.9043133025989,510.2801595425699,006da335f256203469592a62a852eccffab880f7309f6633631136cbb4337c3b,42,w,1.0
7,43,nominal,online_static_3step,dynamic_3step,0.11912062131705234,0.07284086124351122,0.11926857990950414,8246.0,57.58216654384672,9.524163130598774,0.9826335120746362,0.8950038983701101,4503.0,4436.0,421.72328917565756,474.8749164897017,70146d654c8d3e205eae3a8c1c32c196b80ae26034bb8660a9cf58293ef56344,43,nominal,0.5
7,43,pd_060,online_static_3step,dynamic_3step,0.16043997688329686,0.07216921652544263,0.16196049473467417,8297.0,57.58216654384672,10.039523019239043,0.9826335120746362,0.9003936742728046,4503.0,4377.0,427.66230080323294,469.48873779317364,70146d654c8d3e205eae3a8c1c32c196b80ae26034bb8660a9cf58293ef56344,43,p_d,0.5
7,43,pd_095,online_static_3step,dynamic_3step,0.11027888892329193,0.06607295221523303,0.11028321667805403,8220.0,57.58216654384672,9.296703296703297,0.9826335120746362,0.892434988179669,4503.0,4525.0,431.5569097592961,491.0859140737448,70146d654c8d3e205eae3a8c1c32c196b80ae26034bb8660a9cf58293ef56344,43,p_d,0.5
7,43,tau_128000,online_static_3step,dynamic_3step,0.1191831935121958,0.07285696200988497,0.11933238955931717,8246.0,57.58216654384672,9.525462690086055,0.9826335120746362,0.8950182229950064,4503.0,4436.0,432.30387797555886,479.62754023843445,70146d654c8d3e205eae3a8c1c32c196b80ae26034bb8660a9cf58293ef56344,43,tau,0.5
7,43,tau_2000,online_static_3step,dynamic_3step,0.12378055388854498,0.07416619978389402,0.12394888028485775,8247.0,57.58216654384672,9.650925373134328,0.9826335120746362,0.8963829932014872,4503.0,4424.0,431.24053439241834,475.38206530571915,70146d654c8d3e205eae3a8c1c32c196b80ae26034bb8660a9cf58293ef56344,43,tau,0.5
7,43,tau_32000,online_static_3step,dynamic_3step,0.11913631697969385,0.07284822551961678,0.11928407456549363,8246.0,57.58216654384672,9.524842341014912,0.9826335120746362,0.8950113855749715,4503.0,4482.0,428.01770566240884,479.6768049118109,70146d654c8d3e205eae3a8c1c32c196b80ae26034bb8660a9cf58293ef56344,43,tau,0.5
7,43,w_0,online_static_3step,dynamic_3step,0.0,0.0,0.0,8257.0,9.73181135476119,9.73181135476119,0.8972442062894325,0.8972442062894325,4477.0,4477.0,393.71533112227917,435.28405199898407,70146d654c8d3e205eae3a8c1c32c196b80ae26034bb8660a9cf58293ef56344,43,w,0.0
7,43,w_025,online_static_3step,dynamic_3step,-0.015870335254911716,-0.0019858552135211646,-0.015844182658820122,8243.0,9.488777614138439,9.500882352941176,0.8946123472732691,0.89474661796118,4555.0,4431.0,448.5738302394748,483.55457440554164,70146d654c8d3e205eae3a8c1c32c196b80ae26034bb8660a9cf58293ef56344,43,w,0.25
7,43,w_075,online_static_3step,dynamic_3step,0.13984217524525655,0.07863224375402404,0.14002020849871738,8229.0,60.27086553323029,9.379266161910309,0.9834082356184407,0.8933818506973337,5021.0,4475.0,478.92780118458904,480.46051329467446,70146d654c8d3e205eae3a8c1c32c196b80ae26034bb8660a9cf58293ef56344,43,w,0.75
7,43,w_1,online_static_3step,dynamic_3step,0.1862323993448656,0.10745629957583973,0.18643933044972316,8263.0,949.3878787878788,9.916783858147356,0.9989466897330975,0.899160855545074,4935.0,4353.0,464.02329616760835,468.7170222105924,70146d654c8d3e205eae3a8c1c32c196b80ae26034bb8660a9cf58293ef56344,43,w,1.0
